poly_id,asdf_id,mun,mun_id,dep,dep_id,dep_mun,shapeID
178,0,Esmeralda,40505,Oruro,5,Oruro-Esmeralda,BOL-ADM3-33444609B20338026
169,1,Quillacas,40202,Oruro,5,Oruro-Quillacas,BOL-ADM3-33444609B53994240
185,2,Pampa Aullagas,40802,Oruro,5,Oruro-Pampa Aullagas,BOL-ADM3-33444609B27878331
205,3,Llallagua,50203,Potosí,7,Potosí-Llallagua,BOL-ADM3-33444609B13957296
219,4,Caripuyo,50702,Potosí,7,Potosí-Caripuyo,BOL-ADM3-33444609B2060227
118,5,Aiquile,30201,Cochabamba,3,Cochabamba-Aiquile,BOL-ADM3-33444609B22499454
218,6,Villa de Sacaca,50701,Potosí,7,Potosí-Villa de Sacaca,BOL-ADM3-33444609B14646898
234,7,Acasio,51302,Potosí,7,Potosí-Acasio,BOL-ADM3-33444609B19396342
182,8,Huanuni,40701,Oruro,5,Oruro-Huanuni,BOL-ADM3-33444609B48998442
174,9,Huachacalla,40501,Oruro,5,Oruro-Huachacalla,BOL-ADM3-33444609B43353864
194,10,Huari,41401,Oruro,5,Oruro-Huari,BOL-ADM3-33444609B12212981
180,11,Pazña,40602,Oruro,5,Oruro-Pazña,BOL-ADM3-33444609B81698958
157,12,Villa Rivero,31402,Cochabamba,3,Cochabamba-Villa Rivero,BOL-ADM3-33444609B39428862
191,13,Santiago de Andamarca,41201,Oruro,5,Oruro-Santiago de Andamarca,BOL-ADM3-33444609B55151365
112,14,Chacarilla,21803,La Paz,4,La Paz-Chacarilla,BOL-ADM3-33444609B33779243
126,15,Arbieto,30403,Cochabamba,3,Cochabamba-Arbieto,BOL-ADM3-33444609B65270572
111,16,Papel Pampa,21802,La Paz,4,La Paz-Papel Pampa,BOL-ADM3-33444609B96301403
95,17,Umala,21302,La Paz,4,La Paz-Umala,BOL-ADM3-33444609B33786797
164,18,Oruro,40101,Oruro,5,Oruro-Oruro,BOL-ADM3-33444609B89522171
198,19,Huayllamarca,41601,Oruro,5,Oruro-Huayllamarca,BOL-ADM3-33444609B49437729
110,20,San Pedro Cuarahuara,21801,La Paz,4,La Paz-San Pedro Cuarahuara,BOL-ADM3-33444609B90350398
134,21,Sicaya,30703,Cochabamba,3,Cochabamba-Sicaya,BOL-ADM3-33444609B28043407
301,22,Puerto Quijarro,71402,Santa Cruz,8,Santa Cruz-Puerto Quijarro,BOL-ADM3-33444609B22047407
132,23,Capinota,30701,Cochabamba,3,Cochabamba-Capinota,BOL-ADM3-33444609B45253703
