asdf_id,imds,index_sdg1,index_sdg2,index_sdg3,index_sdg4,index_sdg5,index_sdg6,index_sdg7,index_sdg8,index_sdg9,index_sdg10,index_sdg11,index_sdg13,index_sdg15,index_sdg16,index_sdg17
0,53.200001,34.759998,55.080002,85.690002,68.860001,58.529999,34.540001,52.23,30.92,24.530001,83.940002,32.560001,77.379997,50.0,82.400002,26.889999
1,50.5,27.950001,34.82,70.199997,57.73,87.529999,21.84,50.110001,56.599998,46.639999,74.089996,30.68,75.440002,50.0,69.720001,4.3800001
2,47.299999,18.91,54.580002,72.82,48.720001,77.480003,22.48,45.450001,35.470001,28.93,76.0,25.33,74.610001,50.0,69.220001,9.7700005
3,58.099998,60.48,34.73,72.260002,66.889999,72.970001,53.049999,69.360001,47.439999,60.150002,66.57,48.880001,87.620003,50.0,69.269997,12.03
4,43.5,18.889999,32.189999,59.919998,49.669998,77.059998,33.66,36.0,49.0,16.34,41.639999,31.68,77.529999,50.0,74.139999,4.2399998
5,50.400002,41.880001,30.07,73.919998,56.169998,75.690002,36.41,46.43,43.34,42.880001,44.029999,37.82,86.449997,61.189999,69.639999,9.5900002
6,42.200001,19.32,28.799999,64.169998,31.52,82.360001,27.26,41.200001,50.209999,11.28,34.5,27.950001,77.5,50.0,80.879997,5.3699999
7,42.099998,20.73,30.77,60.849998,38.950001,74.269997,22.18,42.310001,35.939999,15.4,48.310001,26.379999,77.519997,50.0,84.419998,3.9000001
8,56.799999,65.089996,30.85,70.790001,55.25,53.009998,47.23,75.769997,42.049999,55.939999,69.25,46.049999,87.419998,50.0,86.379997,17.43
9,61.299999,69.68,30.08,83.470001,63.119999,66.169998,56.970001,78.0,19.120001,53.450001,89.379997,58.709999,77.120003,50.0,89.050003,35.540001
10,50.599998,27.549999,28.360001,82.739998,55.529999,88.580002,30.299999,46.330002,44.599998,41.110001,66.889999,30.190001,81.489998,50.0,73.129997,11.52
11,54.299999,35.779999,37.709999,78.550003,69.480003,83.129997,30.450001,57.349998,43.139999,54.68,77.269997,31.68,75.639999,50.0,77.879997,11.53
12,52.5,47.349998,30.74,83.75,54.150002,58.310001,46.639999,67.669998,37.919998,40.209999,58.060001,41.419998,88.349998,50.0,77.779999,5.1199999
13,46.0,14.49,49.18,74.529999,60.139999,77.400002,17.02,36.580002,35.419998,25.030001,74.400002,22.77,72.32,50.0,75.93,4.9200001
14,43.099998,9.7200003,49.470001,80.690002,41.34,71.949997,1.71,38.970001,43.950001,17.629999,81.040001,20.6,76.949997,50.0,60.630001,2.1400001
15,50.900002,46.040001,29.209999,77.550003,62.360001,74.160004,37.080002,64.529999,38.240002,39.18,62.240002,42.799999,88.870003,50.0,44.740002,7.2199998
16,50.299999,20.15,48.799999,78.080002,63.82,59.360001,32.32,38.790001,48.290001,21.98,78.93,34.91,74.699997,58.310001,89.089996,6.7800002
17,51.200001,23.32,41.439999,79.699997,58.32,79.669998,22.389999,46.939999,56.380001,42.049999,76.040001,38.110001,77.419998,50.0,68.540001,7.5500002
18,67.400002,79.080002,60.169998,79.610001,62.32,60.91,55.810001,81.43,58.41,66.940002,87.330002,77.379997,86.370003,50.0,68.360001,36.32
19,47.5,11.57,37.220001,79.489998,65.050003,69.040001,13.03,32.189999,47.540001,34.09,81.07,25.16,73.330002,50.0,89.040001,3.97
20,49.0,13.48,42.48,82.059998,65.230003,85.790001,12.89,37.41,52.25,20.200001,83.300003,22.809999,77.510002,50.0,83.910004,5.0500002
21,46.599998,24.66,33.130001,70.230003,50.349998,68.970001,37.360001,41.900002,43.549999,24.799999,44.07,26.51,77.5,50.0,79.040001,26.219999
22,64.0,78.93,42.740002,75.519997,55.400002,64.699997,33.0,86.5,54.119999,47.52,59.009998,48.099998,87.099998,98.730003,75.769997,52.779999
23,55.0,53.330002,30.629999,77.379997,62.830002,71.419998,42.27,62.029999,54.220001,42.650002,54.689999,47.189999,87.419998,50.0,77.150002,11.31
24,40.400002,6.5599999,32.759998,59.91,37.259998,65.080002,17.5,32.139999,45.400002,32.27,31.610001,27.85,77.529999,50.0,79.800003,10.89
25,47.5,21.25,54.139999,66.279999,59.490002,72.260002,18.73,43.66,38.43,36.869999,71.860001,33.060001,76.260002,50.0,66.660004,3.6500001
26,58.099998,69.25,30.969999,81.010002,58.700001,72.110001,42.049999,72.800003,44.040001,52.259998,68.669998,56.790001,88.879997,49.869999,75.599998,7.9899998
27,48.099998,21.389999,27.85,73.370003,62.98,75.699997,13.45,44.639999,60.939999,19.6,70.080002,33.150002,79.260002,50.0,82.910004,5.6500001
28,48.400002,28.93,28.6,71.720001,58.43,63.16,27.940001,55.459999,55.57,28.65,74.019997,22.860001,79.900002,50.0,75.839996,5.1100001
29,46.799999,26.43,28.27,68.279999,58.209999,53.84,25.43,51.279999,32.259998,45.380001,69.5,25.1,78.739998,49.990002,76.889999,13.08
30,41.799999,13.07,34.330002,82.760002,40.450001,68.370003,19.459999,36.139999,41.549999,12.99,79.059998,12.86,77.620003,49.950001,57.279999,0.69
31,56.400002,78.610001,48.970001,72.720001,52.259998,75.919998,39.919998,83.360001,52.080002,55.73,63.18,51.630001,50.950001,13.17,75.059998,32.889999
32,55.400002,48.049999,32.240002,71.410004,52.869999,88.419998,34.119999,49.509998,57.580002,25.799999,80.050003,42.689999,76.559998,93.830002,58.599998,20.01
33,53.0,67.019997,37.98,67.239998,50.830002,83.050003,54.57,73.730003,58.450001,26.139999,62.599998,41.93,65.239998,24.84,66.940002,14.71
34,59.0,61.669998,43.400002,80.199997,56.07,85.779999,47.450001,69.949997,56.990002,29.25,68.199997,44.810001,61.139999,87.769997,78.970001,13.86
35,42.299999,13.6,27.18,72.169998,46.900002,74.389999,14.29,37.040001,35.799999,24.25,49.889999,28.799999,77.5,50.0,77.470001,5.1500001
36,45.799999,20.93,44.470001,74.389999,39.540001,82.550003,25.76,41.5,46.34,12.87,73.68,30.0,58.189999,41.939999,80.43,13.96
37,40.099998,7.5799999,27.610001,76.379997,36.869999,79.279999,15.99,31.26,36.619999,11.86,66.57,14.83,74.519997,46.139999,73.290001,2.28
38,51.299999,57.02,62.310001,76.169998,50.130001,72.879997,35.549999,68.360001,46.16,50.240002,49.630001,36.540001,45.830002,28.26,75.760002,14.82
39,36.400002,3.5999999,31.280001,61.029999,23.440001,69.519997,20.860001,30.809999,34.09,14.38,35.560001,19.07,77.440002,50.0,71.599998,3.0699999
40,36.299999,3.4100001,29.85,60.560001,29.82,76.459999,14.9,26.66,39.369999,9.4799995,35.48,16.620001,77.550003,50.0,67.75,7.27
41,47.099998,25.799999,27.809999,70.989998,60.610001,42.5,22.84,46.560001,55.59,36.259998,54.759998,40.540001,77.480003,50.0,87.870003,6.2800002
42,54.099998,41.509998,38.959999,67.989998,65.910004,79.019997,38.290001,54.880001,40.5,45.779999,77.610001,38.84,66.660004,50.0,78.809998,26.309999
43,47.5,22.299999,27.59,76.099998,45.869999,66.410004,27.77,39.709999,44.27,35.880001,64.230003,38.049999,84.650002,50.0,83.669998,6.3600001
