Goal index,Daytime embeddings (simple),Daytime embeddings (pop-weighted),Nighttime lights (simple),Nighttime lights (pop-weighted),Combined (simple),Combined (pop-weighted)
SDG 1,0.375,0.691,0.515,0.553,0.677,0.721
SDG 2,0.504,0.582,0.289,0.133,0.538,0.588
SDG 3,0.247,0.281,0.128,0.085,0.31,0.281
SDG 4,0.33,0.435,0.191,0.137,0.386,0.414
SDG 5,0.251,0.269,0.113,0.057,0.237,0.286
SDG 6,0.179,0.416,0.242,0.227,0.366,0.438
SDG 7,0.319,0.634,0.507,0.5,0.638,0.642
SDG 8,0.325,0.359,0.205,0.159,0.379,0.374
SDG 9,0.219,0.461,0.384,0.416,0.479,0.517
SDG 10,0.531,0.572,0.129,0.133,0.552,0.563
SDG 11,0.199,0.449,0.454,0.399,0.491,0.482
SDG 13,0.558,0.63,0.352,0.25,0.602,0.638
SDG 15,0.176,0.1,0.047,0.025,0.212,0.11
SDG 16,-0.076,-0.051,0.016,0.03,-0.04,-0.008
SDG 17,0.175,0.248,0.251,0.183,0.313,0.27
Overall (mean of 15),0.287,0.405,0.255,0.219,0.409,0.421
