Goal index,Mean,SD,Min,Median,Max,Moran's I
Poverty (SDG 1),37.5,20.9,0.1,34.8,90.5,0.498
Hunger (SDG 2),40.7,11.1,21.4,38.0,71.4,0.555
Health (SDG 3),75.2,7.4,50.2,76.2,89.1,0.391
Education (SDG 4),53.2,12.1,12.4,54.4,85.8,0.396
Gender (SDG 5),73.1,9.7,37.8,74.2,93.5,0.293
Water (SDG 6),35.8,16.2,0.0,34.9,95.0,0.320
Energy (SDG 7),52.3,14.9,24.9,50.2,96.5,0.430
Jobs (SDG 8),45.0,10.5,15.0,45.2,72.5,0.470
Infrastructure (SDG 9),35.5,15.2,0.6,34.9,78.9,0.317
Inequality (SDG 10),66.1,14.2,10.3,68.6,95.7,0.641
Cities (SDG 11),37.5,12.5,3.1,36.7,94.8,0.363
Climate (SDG 13),72.2,15.5,11.9,77.4,99.8,0.652
Land (SDG 15),53.9,18.8,0.0,50.0,100.0,0.383
Institutions (SDG 16),73.8,9.7,32.7,75.6,93.7,0.088
Partnerships (SDG 17),14.0,11.6,0.0,10.9,65.3,0.386
